title,description,published_date,source,bias_text,label
"Women's Safety Still a Distant Dream, Says Study",Reports show lack of implementation in gender-based violence laws.,13-06-2025,Scroll.in,left,0
"Media Must Act Responsibly, Says Minister",Remarks come after fake news surge.,05-06-2025,Organiser,right,2
Whistleblowers Face Reprisal,Transparency International cites India as high-risk.,29-06-2025,Newslaundry,left,0
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,28-06-2025,Organiser,right,2
CAA Sparks Fear Among Muslim Communities,Community leaders call for unity against discriminatory laws.,04-06-2025,Newslaundry,left,0
Flood Relief Operations Underway in Assam,Rescue teams deployed across districts.,20-06-2025,PTI,center,1
Nation Celebrates Cultural Heritage Week,Organizers say Indian values must be preserved.,12-06-2025,Jagran,right,2
FIR Filed Against Environmental NGO,Critics say it’s an attempt to silence activism.,23-06-2025,The Hindu,left,0
Dalit Youths Detained During Peaceful Protest in UP,"Human rights groups condemn police action, citing rising suppression of dissent.",01-06-2025,Newslaundry,left,0
Tribal Land Rights Bill Faces Delays in Parliament,Activists blame corporate lobbying and government inaction.,07-06-2025,The Caravan,left,0
PM Flags Off Indigenous Fighter Jet Fleet,Move hailed as boost to national defense.,10-06-2025,NewsX,right,2
RBI Keeps Repo Rate Unchanged,Monetary policy committee evaluates inflation trends.,23-06-2025,PTI,center,1
India Ranks 5th in Global GDP List,IMF figures indicate positive trajectory.,29-06-2025,PTI,center,1
Censorship on OTT Platforms Draws Ire,Artists say creative freedom is under attack.,26-06-2025,Scroll.in,left,0
Delhi Sees Improvement in Air Quality,Authorities credit weather and regulation.,03-06-2025,Business Standard,center,1
Minority Colleges Decry Fund Cuts,Secular groups call it an attack on inclusive education.,11-06-2025,Scroll.in,left,0
"Social Media Must Follow Indian Culture, Says Minister",Debate rises over regulation.,14-06-2025,Jagran,right,2
"Women's Safety Still a Distant Dream, Says Study",Reports show lack of implementation in gender-based violence laws.,01-07-2025,The Caravan,left,0
IMD Predicts Normal Monsoon,Farmers hopeful after dry spell.,20-06-2025,Mint,center,1
Parliament Discusses Agri Subsidy Budget,Ministers cite data to defend allocations.,16-06-2025,Times of India,center,1
Unemployment Rate Hits Youth Hardest,Experts cite poor economic policies and jobless growth.,23-06-2025,Newslaundry,left,0
ISRO Announces Launch Date for Gaganyaan,India prepares for crewed space mission.,09-06-2025,Indian Express,center,1
Unemployment Rate Hits Youth Hardest,Experts cite poor economic policies and jobless growth.,26-06-2025,The Caravan,left,0
Dalit Youths Detained During Peaceful Protest in UP,"Human rights groups condemn police action, citing rising suppression of dissent.",13-06-2025,The Hindu,left,0
Delhi Sees Improvement in Air Quality,Authorities credit weather and regulation.,23-06-2025,Business Standard,center,1
Disability Pension Budget Slashed,Critics say social justice is being undermined.,24-06-2025,Scroll.in,left,0
"Media Must Act Responsibly, Says Minister",Remarks come after fake news surge.,06-06-2025,NewsX,right,2
Online Gambling Ban Welcomed by Parents,Right-wing think tanks applaud moral step.,18-06-2025,Organiser,right,2
Kashmir Sees Record Tourist Footfall,Ministry says scrapping Article 370 worked.,21-06-2025,OpIndia,right,2
Dalit Youths Detained During Peaceful Protest in UP,"Human rights groups condemn police action, citing rising suppression of dissent.",27-06-2025,NDTV,Left,0
Startup India Recognized Globally,Entrepreneurs praise ecosystem reforms.,26-06-2025,Jagran,right,2
Supreme Court Urged to Revisit Sedition Law,Petitions say it violates free speech rights.,15-06-2025,The Hindu,left,0
Whistleblowers Face Reprisal,Transparency International cites India as high-risk.,05-06-2025,Newslaundry,left,0
Centre Plans Hindu Pilgrimage Circuit,Initiative expected to boost spiritual tourism.,19-06-2025,Zee News,right,2
Health Ministry Reviews Vaccine Booster Uptake,Experts discuss rollout efficiency.,29-06-2025,Times of India,center,1
"Citizenship Linked to Loyalty, Not Birth",Leaders back stricter verification norms.,22-06-2025,Swarajya,right,2
RTI Queries Blocked on Environmental Projects,Transparency activists demand reversal of opaque decisions.,14-06-2025,Newslaundry,left,0
Refugees Face Statelessness Under New Policy,UN says new rules violate humanitarian principles.,02-06-2025,Alt News,left,0
"Media Must Act Responsibly, Says Minister",Remarks come after fake news surge.,03-06-2025,Jagran,right,2
Online Gambling Ban Welcomed by Parents,Right-wing think tanks applaud moral step.,29-06-2025,OpIndia,right,2
Startup India Recognized Globally,Entrepreneurs praise ecosystem reforms.,08-06-2025,NewsX,right,2
Temple Priests Included in State Pensions,Ruling party says it’s long overdue.,04-06-2025,Swarajya,Right,2
PM Flags Off Indigenous Fighter Jet Fleet,Move hailed as boost to national defense.,21-06-2025,NewsX,right,2
Kashmir Sees Record Tourist Footfall,Ministry says scrapping Article 370 worked.,27-06-2025,Republic TV,right,2
Journalist Beaten During Protest Coverage,Press freedom organizations condemn the attack.,08-06-2025,Alt News,left,0
Tougher Anti-Conversion Laws Passed in MP,Ruling party defends it as protection of faith.,23-06-2025,NewsX,right,2
Education Ministry Unveils Online Learning Guidelines,Focus on hybrid mode for all levels.,23-06-2025,Hindustan Times,center,1
Censorship on OTT Platforms Draws Ire,Artists say creative freedom is under attack.,05-06-2025,Alt News,left,0
Election Commission Releases Final Voter Turnout,High participation recorded in key states.,08-06-2025,Times of India,center,1
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,14-06-2025,PTI,center,1
Budget Session to Focus on Rural Jobs,Ruling and opposition clash over allocations.,02-06-2025,Indian Express,center,1
NCERT Textbooks Updated With 'True History',Govt says changes ensure cultural pride.,18-06-2025,Swarajya,right,2
Online Gambling Ban Welcomed by Parents,Right-wing think tanks applaud moral step.,02-06-2025,Jagran,Right,2
